
---------- Begin Simulation Statistics ----------
simSeconds                                   0.069842                       # Number of seconds simulated (Second)
simTicks                                  69841996156                       # Number of ticks simulated (Tick)
finalTick                                 69841996156                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    710.03                       # Real time elapsed on the host (Second)
hostTickRate                                 98364488                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16979936                       # Number of bytes of host memory used (Byte)
simInsts                                    157181155                       # Number of instructions simulated (Count)
simOps                                      181430280                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   221372                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     255524                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           556                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        125615102                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.799174                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.251292                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       275222361                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    36752                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      220847003                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 131592                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             93828832                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         301129165                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 163                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           125394270                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.761221                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.839076                       # Number of insts issued each cycle (Count)
system.mem_ctrl.wrQLenPdf::11                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::12                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::13                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::14                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::15                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::16                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::17                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::18                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::19                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::20                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::21                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::22                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::23                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::24                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::25                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::26                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::27                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::28                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::29                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::30                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::31                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::32                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::33                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::34                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::35                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::36                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::37                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::38                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::39                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::40                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::41                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::42                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::43                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::44                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::45                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::46                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::47                    1560                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::48                    1837                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::49                    4470                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::50                    5667                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::51                    6439                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::52                    6763                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::53                    6852                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::54                    7140                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::55                    6946                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::56                    6944                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::57                    7164                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::58                    7330                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::59                    7222                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::60                    6979                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::61                    6755                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::62                    6749                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::63                    6762                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::64                    6658                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::65                     110                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::66                      31                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::67                      11                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::68                       2                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::69                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::70                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::71                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::72                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::73                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::74                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::75                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::76                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::77                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::78                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::79                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::80                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::81                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::82                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::83                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::84                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::85                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::86                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::87                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::88                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::89                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::90                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::91                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::92                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::93                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::94                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::95                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::96                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::97                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::98                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::99                       0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::100                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::101                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::102                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::103                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::104                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::105                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::106                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::107                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::108                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::109                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::110                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::111                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::112                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::113                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::114                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::115                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::116                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::117                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::118                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::119                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::120                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::121                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::122                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::123                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::124                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::125                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::126                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::127                      0                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.rdPerTurnAround::samples         6644                       # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::mean       39.805689                       # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::gmean      27.030223                       # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::stdev     201.962243                       # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::0-255           6477     97.49%     97.49% # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::256-511          166      2.50%     99.98% # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::15872-16127            1      0.02%    100.00% # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::total           6644                       # Reads before turning the bus around for writes (Count)
system.mem_ctrl.wrPerTurnAround::samples         6644                       # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::mean       16.614690                       # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::gmean      16.582506                       # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::stdev       1.066903                       # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::16              4767     71.75%     71.75% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::17               255      3.84%     75.59% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::18              1197     18.02%     93.60% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::19               297      4.47%     98.07% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::20               104      1.57%     99.64% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::21                18      0.27%     99.91% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::22                 4      0.06%     99.97% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::23                 2      0.03%    100.00% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::total           6644                       # Writes before turning the bus around for reads (Count)
system.mem_ctrl.bytesReadWrQ                      704                       # Total number of bytes read from write queue (Byte)
system.mem_ctrl.bytesReadSys                 16927744                       # Total read bytes from the system interface side (Byte)
system.mem_ctrl.bytesWrittenSys               7068032                       # Total written bytes from the system interface side (Byte)
system.mem_ctrl.avgRdBWSys               242371995.81452355                       # Average system read bandwidth in Byte/s ((Byte/Second))
system.mem_ctrl.avgWrBWSys               101200314.83940911                       # Average system write bandwidth in Byte/s ((Byte/Second))
system.mem_ctrl.totGap                    69841931660                       # Total gap between requests (Tick)
system.mem_ctrl.avgGap                      186277.94                       # Average gap between requests ((Tick/Count))
system.mem_ctrl.requestorReadBytes::cpu.inst       262208                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrl.requestorReadBytes::cpu.data     16664832                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrl.requestorWriteBytes::writebacks      7064832                       # Per-requestor bytes write to memory (Byte)
system.mem_ctrl.requestorReadRate::cpu.inst 3754302.775286215823                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrl.requestorReadRate::cpu.data 238607613.144063264132                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrl.requestorWriteRate::writebacks 101154497.134072437882                       # Per-requestor bytes write to memory rate ((Byte/Second))
system.mem_ctrl.requestorReadAccesses::cpu.inst         4097                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrl.requestorReadAccesses::cpu.data       260399                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrl.requestorWriteAccesses::writebacks       110438                       # Per-requestor write serviced memory accesses (Count)
system.mem_ctrl.requestorReadTotalLat::cpu.inst    127337670                       # Per-requestor read total memory access latency (Tick)
system.mem_ctrl.requestorReadTotalLat::cpu.data   8617990530                       # Per-requestor read total memory access latency (Tick)
system.mem_ctrl.requestorWriteTotalLat::writebacks 3825633265558                       # Per-requestor write total memory access latency (Tick)
system.mem_ctrl.requestorReadAvgLat::cpu.inst     31080.71                       # Per-requestor read average memory access latency ((Tick/Count))
system.mem_ctrl.requestorReadAvgLat::cpu.data     33095.33                       # Per-requestor read average memory access latency ((Tick/Count))
system.mem_ctrl.requestorWriteAvgLat::writebacks  34640551.85                       # Per-requestor write average memory access latency ((Tick/Count))
system.mem_ctrl.dram.bytesRead::cpu.inst       262208                       # Number of bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesRead::cpu.data     16665536                       # Number of bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesRead::total        16927744                       # Number of bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesInstRead::cpu.inst       262208                       # Number of instructions bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesInstRead::total       262208                       # Number of instructions bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesWritten::writebacks      7068032                       # Number of bytes written to this memory (Byte)
system.mem_ctrl.dram.bytesWritten::total      7068032                       # Number of bytes written to this memory (Byte)
system.mem_ctrl.dram.numReads::cpu.inst          4097                       # Number of read requests responded to by this memory (Count)
system.mem_ctrl.dram.numReads::cpu.data        260399                       # Number of read requests responded to by this memory (Count)
system.mem_ctrl.dram.numReads::total           264496                       # Number of read requests responded to by this memory (Count)
system.mem_ctrl.dram.numWrites::writebacks       110438                       # Number of write requests responded to by this memory (Count)
system.mem_ctrl.dram.numWrites::total          110438                       # Number of write requests responded to by this memory (Count)
system.mem_ctrl.dram.bwRead::cpu.inst         3754303                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwRead::cpu.data       238617693                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwRead::total          242371996                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwInstRead::cpu.inst      3754303                       # Instruction read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwInstRead::total        3754303                       # Instruction read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwWrite::writebacks    101200315                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwWrite::total         101200315                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::writebacks    101200315                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::cpu.inst        3754303                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::cpu.data      238617693                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::total         343572311                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.readBursts                264485                       # Number of DRAM read bursts (Count)
system.mem_ctrl.dram.writeBursts               110388                       # Number of DRAM write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::0          8115                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::1          8115                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::2          8026                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::3          8088                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::4          8212                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::5          8300                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::6          8305                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::7          8373                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::8          8446                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::9          8174                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::10         8245                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::11         8264                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::12         8375                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::13         8225                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::14         8278                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::15         8254                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::16         8178                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::17         8064                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::18         8309                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::19         8315                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::20         8282                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::21         8414                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::22         8215                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::23         8510                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::24         8604                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::25         8360                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::26         8266                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::27         8306                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::28         8246                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::29         8258                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::30         8232                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::31         8131                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::0          3469                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::1          3393                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::2          3347                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::3          3359                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::4          3360                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::5          3369                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::6          3414                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::7          3493                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::8          3525                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::9          3504                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::10         3509                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::11         3454                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::12         3448                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::13         3444                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::14         3469                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::15         3477                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::16         3468                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::17         3411                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::18         3369                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::19         3491                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::20         3390                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::21         3493                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::22         3403                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::23         3496                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::24         3473                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::25         3483                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::26         3484                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::27         3483                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::28         3483                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::29         3479                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::30         3477                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::31         3471                       # Per bank write bursts (Count)
system.mem_ctrl.dram.totQLat               4118956580                       # Total ticks spent queuing (Tick)
system.mem_ctrl.dram.totBusLat              881264020                       # Total ticks spent in databus transfers (Tick)
system.mem_ctrl.dram.totMemAccLat          8745328200                       # Total ticks spent from burst creation until serviced by the DRAM (Tick)
system.mem_ctrl.dram.avgQLat                 15573.50                       # Average queueing delay per DRAM burst ((Tick/Count))
system.mem_ctrl.dram.avgBusLat                3332.00                       # Average bus latency per DRAM burst ((Tick/Count))
system.mem_ctrl.dram.avgMemAccLat            33065.50                       # Average memory access latency per DRAM burst ((Tick/Count))
system.mem_ctrl.dram.readRowHits               225484                       # Number of row buffer hits during reads (Count)
system.mem_ctrl.dram.writeRowHits               95489                       # Number of row buffer hits during writes (Count)
system.mem_ctrl.dram.readRowHitRate             85.25                       # Row buffer hit rate for reads (Ratio)
system.mem_ctrl.dram.writeRowHitRate            86.50                       # Row buffer hit rate for writes (Ratio)
system.mem_ctrl.dram.bytesPerActivate::samples        53885                       # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::mean   445.186304                       # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::gmean   256.859308                       # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::stdev   397.143901                       # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::0-127        15865     29.44%     29.44% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::128-255        10364     19.23%     48.68% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::256-383         3224      5.98%     54.66% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::384-511         2999      5.57%     60.22% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::512-639         2886      5.36%     65.58% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::640-767         2160      4.01%     69.59% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::768-895         1489      2.76%     72.35% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::896-1023         1544      2.87%     75.22% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::1024-1151        13354     24.78%    100.00% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::total        53885                       # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.dramBytesRead           16927040                       # Total bytes read (Byte)
system.mem_ctrl.dram.dramBytesWritten         7064832                       # Total bytes written (Byte)
system.mem_ctrl.dram.avgRdBW               242.361916                       # Average DRAM read bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrl.dram.avgWrBW               101.154497                       # Average DRAM write bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrl.dram.peakBW                  19207.00                       # Theoretical peak bandwidth in MiByte/s ((Byte/Second))
system.mem_ctrl.dram.busUtil                     1.79                       # Data bus utilization in percentage (Ratio)
system.mem_ctrl.dram.busUtilRead                 1.26                       # Data bus utilization in percentage for reads (Ratio)
system.mem_ctrl.dram.busUtilWrite                0.53                       # Data bus utilization in percentage for writes (Ratio)
system.mem_ctrl.dram.pageHitRate                85.62                       # Row buffer hit rate, read and write combined (Ratio)
system.mem_ctrl.dram.power_state.pwrStateResidencyTicks::UNDEFINED  69841996156                       # Cumulative time (in ticks) in various power states (Tick)
